CustomerID,Segment,Region,PlanID,Month,MRR,MRRDelta,COGS,MovementType
C1098,Mid-Market,NA,P2,2025-01-01,509.49,0.0,132.01,Renewal
C1100,SMB,EMEA,P1,2025-01-01,0.0,-88.42,0.0,Churn
C1101,Enterprise,EMEA,P3,2025-01-01,1725.14,0.0,435.16,Renewal
C1102,Mid-Market,APAC,P2,2025-01-01,713.72,0.0,166.79,Renewal
C1103,SMB,EMEA,P1,2025-01-01,96.6,0.0,19.67,Renewal
C1104,Mid-Market,EMEA,P2,2025-01-01,680.02,154.36,150.46,Expansion
C1105,Mid-Market,NA,P2,2025-01-01,605.3,0.0,189.37,Renewal
C1106,SMB,EMEA,P1,2025-01-01,94.02,0.0,32.26,Renewal
C1107,Enterprise,NA,P3,2025-01-01,2028.31,2028.31,550.66,New
C1108,SMB,EMEA,P1,2025-01-01,114.07,114.07,29.15,New
C1091,SMB,NA,P1,2025-02-01,88.89,0.0,17.98,Renewal
C1092,SMB,APAC,P1,2025-02-01,112.39,0.0,38.13,Renewal
C1093,Mid-Market,NA,P2,2025-02-01,576.0,0.0,144.8,Renewal
C1094,SMB,NA,P1,2025-02-01,106.38,0.0,36.7,Renewal
C1095,Enterprise,EMEA,P3,2025-02-01,1906.73,0.0,526.95,Renewal
C1096,SMB,EMEA,P1,2025-02-01,103.7,0.0,34.01,Renewal
C1097,Mid-Market,EMEA,P2,2025-02-01,785.52,124.49,193.4,Expansion
C1098,Mid-Market,NA,P2,2025-02-01,690.53,181.04,164.37,Expansion
C1101,Enterprise,EMEA,P3,2025-02-01,1725.14,0.0,339.77,Renewal
C1102,Mid-Market,APAC,P2,2025-02-01,713.72,0.0,190.43,Renewal
C1103,SMB,EMEA,P1,2025-02-01,96.6,0.0,32.88,Renewal
C1104,Mid-Market,EMEA,P2,2025-02-01,680.02,0.0,192.8,Renewal
C1105,Mid-Market,NA,P2,2025-02-01,605.3,0.0,162.47,Renewal
C1106,SMB,EMEA,P1,2025-02-01,94.02,0.0,20.17,Renewal
C1107,Enterprise,NA,P3,2025-02-01,2028.31,0.0,489.84,Renewal
C1108,SMB,EMEA,P1,2025-02-01,0.0,-114.07,0.0,Churn
C1109,Mid-Market,EMEA,P2,2025-02-01,469.82,469.82,101.86,New
C1110,SMB,EMEA,P1,2025-02-01,87.2,87.2,24.22,New
C1111,Enterprise,NA,P3,2025-02-01,1931.8,1931.8,517.21,New
C1112,Enterprise,APAC,P3,2025-02-01,1828.98,1828.98,464.7,New
C1091,SMB,NA,P1,2025-03-01,88.89,0.0,27.07,Renewal
C1092,SMB,APAC,P1,2025-03-01,112.39,0.0,34.32,Renewal
C1093,Mid-Market,NA,P2,2025-03-01,576.0,0.0,140.05,Renewal
C1094,SMB,NA,P1,2025-03-01,106.38,0.0,25.96,Renewal
C1095,Enterprise,EMEA,P3,2025-03-01,1906.73,0.0,497.53,Renewal
C1096,SMB,EMEA,P1,2025-03-01,103.7,0.0,33.34,Renewal
C1097,Mid-Market,EMEA,P2,2025-03-01,785.52,0.0,238.84,Renewal
C1098,Mid-Market,NA,P2,2025-03-01,690.53,0.0,213.78,Renewal
C1101,Enterprise,EMEA,P3,2025-03-01,1255.62,-469.52,288.98,Contraction
C1102,Mid-Market,APAC,P2,2025-03-01,713.72,0.0,211.12,Renewal
C1103,SMB,EMEA,P1,2025-03-01,96.6,0.0,28.74,Renewal
C1104,Mid-Market,EMEA,P2,2025-03-01,527.35,-152.67,155.83,Contraction
C1105,Mid-Market,NA,P2,2025-03-01,827.45,222.15,199.05,Expansion
C1106,SMB,EMEA,P1,2025-03-01,94.02,0.0,24.1,Renewal
C1107,Enterprise,NA,P3,2025-03-01,2028.31,0.0,384.16,Renewal
C1109,Mid-Market,EMEA,P2,2025-03-01,469.82,0.0,126.57,Renewal
C1110,SMB,EMEA,P1,2025-03-01,87.2,0.0,17.91,Renewal
C1111,Enterprise,NA,P3,2025-03-01,2394.81,463.01,561.02,Expansion
C1112,Enterprise,APAC,P3,2025-03-01,1828.98,0.0,381.62,Renewal
C1113,Mid-Market,NA,P2,2025-03-01,609.72,609.72,165.17,New
C1114,SMB,NA,P1,2025-03-01,116.15,116.15,23.76,New
C1115,Enterprise,APAC,P3,2025-03-01,2206.72,2206.72,405.45,New
C1091,SMB,NA,P1,2025-04-01,88.89,0.0,28.75,Renewal
C1092,SMB,APAC,P1,2025-04-01,77.55,-34.84,16.99,Contraction
C1093,Mid-Market,NA,P2,2025-04-01,576.0,0.0,151.3,Renewal
C1094,SMB,NA,P1,2025-04-01,106.38,0.0,33.56,Renewal
C1095,Enterprise,EMEA,P3,2025-04-01,1906.73,0.0,384.36,Renewal
C1096,SMB,EMEA,P1,2025-04-01,78.37,-25.33,16.68,Contraction
C1097,Mid-Market,EMEA,P2,2025-04-01,785.52,0.0,161.98,Renewal
C1098,Mid-Market,NA,P2,2025-04-01,690.53,0.0,182.14,Renewal
C1101,Enterprise,EMEA,P3,2025-04-01,1255.62,0.0,293.89,Renewal
C1102,Mid-Market,APAC,P2,2025-04-01,713.72,0.0,197.34,Renewal
C1103,SMB,EMEA,P1,2025-04-01,96.6,0.0,29.84,Renewal
C1104,Mid-Market,EMEA,P2,2025-04-01,527.35,0.0,167.22,Renewal
C1105,Mid-Market,NA,P2,2025-04-01,827.45,0.0,216.76,Renewal
C1106,SMB,EMEA,P1,2025-04-01,64.0,-30.02,20.43,Contraction
C1107,Enterprise,NA,P3,2025-04-01,2028.31,0.0,420.03,Renewal
C1109,Mid-Market,EMEA,P2,2025-04-01,469.82,0.0,118.71,Renewal
C1110,SMB,EMEA,P1,2025-04-01,87.2,0.0,18.47,Renewal
C1111,Enterprise,NA,P3,2025-04-01,2394.81,0.0,437.14,Renewal
C1112,Enterprise,APAC,P3,2025-04-01,1828.98,0.0,505.28,Renewal
C1113,Mid-Market,NA,P2,2025-04-01,609.72,0.0,183.11,Renewal
C1114,SMB,NA,P1,2025-04-01,116.15,0.0,35.36,Renewal
C1115,Enterprise,APAC,P3,2025-04-01,2206.72,0.0,487.45,Renewal
C1116,Enterprise,EMEA,P3,2025-04-01,2397.17,2397.17,473.03,New
C1117,SMB,NA,P1,2025-04-01,115.98,115.98,25.92,New
C1118,SMB,EMEA,P1,2025-04-01,91.54,91.54,21.74,New
C1091,SMB,NA,P1,2025-05-01,88.89,0.0,25.1,Renewal
C1092,SMB,APAC,P1,2025-05-01,77.55,0.0,23.82,Renewal
C1093,Mid-Market,NA,P2,2025-05-01,576.0,0.0,160.83,Renewal
C1094,SMB,NA,P1,2025-05-01,106.38,0.0,25.74,Renewal
C1095,Enterprise,EMEA,P3,2025-05-01,1906.73,0.0,525.28,Renewal
C1096,SMB,EMEA,P1,2025-05-01,78.37,0.0,24.35,Renewal
C1097,Mid-Market,EMEA,P2,2025-05-01,785.52,0.0,209.36,Renewal
C1098,Mid-Market,NA,P2,2025-05-01,886.31,195.78,221.89,Expansion
C1101,Enterprise,EMEA,P3,2025-05-01,1255.62,0.0,257.12,Renewal
C1102,Mid-Market,APAC,P2,2025-05-01,713.72,0.0,173.23,Renewal
C1103,SMB,EMEA,P1,2025-05-01,96.6,0.0,30.3,Renewal
C1104,Mid-Market,EMEA,P2,2025-05-01,582.36,55.01,124.58,Expansion
C1105,Mid-Market,NA,P2,2025-05-01,827.45,0.0,170.06,Renewal
C1106,SMB,EMEA,P1,2025-05-01,64.0,0.0,13.19,Renewal
C1107,Enterprise,NA,P3,2025-05-01,2028.31,0.0,538.61,Renewal
C1109,Mid-Market,EMEA,P2,2025-05-01,469.82,0.0,133.64,Renewal
C1110,SMB,EMEA,P1,2025-05-01,87.2,0.0,23.64,Renewal
C1111,Enterprise,NA,P3,2025-05-01,2394.81,0.0,454.5,Renewal
C1112,Enterprise,APAC,P3,2025-05-01,1828.98,0.0,419.13,Renewal
C1113,Mid-Market,NA,P2,2025-05-01,0.0,-609.72,0.0,Churn
C1114,SMB,NA,P1,2025-05-01,116.15,0.0,26.25,Renewal
C1115,Enterprise,APAC,P3,2025-05-01,2714.61,507.89,596.81,Expansion
C1116,Enterprise,EMEA,P3,2025-05-01,2397.17,0.0,579.12,Renewal
C1117,SMB,NA,P1,2025-05-01,115.98,0.0,34.24,Renewal
C1118,SMB,EMEA,P1,2025-05-01,91.54,0.0,18.93,Renewal
C1119,Mid-Market,EMEA,P2,2025-05-01,602.3,602.3,147.54,New
C1120,Enterprise,APAC,P3,2025-05-01,2131.47,2131.47,517.06,New
C1121,Enterprise,APAC,P3,2025-05-01,2345.95,2345.95,540.3,New
C1091,SMB,NA,P1,2025-06-01,88.89,0.0,29.2,Renewal
C1092,SMB,APAC,P1,2025-06-01,77.55,0.0,23.17,Renewal
C1093,Mid-Market,NA,P2,2025-06-01,576.0,0.0,126.46,Renewal
C1094,SMB,NA,P1,2025-06-01,106.38,0.0,22.4,Renewal
C1095,Enterprise,EMEA,P3,2025-06-01,2464.88,558.15,450.21,Expansion
C1096,SMB,EMEA,P1,2025-06-01,78.37,0.0,22.56,Renewal
C1097,Mid-Market,EMEA,P2,2025-06-01,785.52,0.0,245.73,Renewal
C1098,Mid-Market,NA,P2,2025-06-01,886.31,0.0,238.47,Renewal
C1101,Enterprise,EMEA,P3,2025-06-01,1255.62,0.0,274.75,Renewal
C1102,Mid-Market,APAC,P2,2025-06-01,713.72,0.0,197.84,Renewal
C1103,SMB,EMEA,P1,2025-06-01,96.6,0.0,25.96,Renewal
C1104,Mid-Market,EMEA,P2,2025-06-01,582.36,0.0,154.6,Renewal
C1105,Mid-Market,NA,P2,2025-06-01,827.45,0.0,258.97,Renewal
C1106,SMB,EMEA,P1,2025-06-01,64.0,0.0,16.51,Renewal
C1107,Enterprise,NA,P3,2025-06-01,2028.31,0.0,560.06,Renewal
C1109,Mid-Market,EMEA,P2,2025-06-01,469.82,0.0,145.01,Renewal
C1110,SMB,EMEA,P1,2025-06-01,56.59,-30.61,11.91,Contraction
C1111,Enterprise,NA,P3,2025-06-01,2394.81,0.0,455.2,Renewal
C1112,Enterprise,APAC,P3,2025-06-01,1828.98,0.0,332.55,Renewal
C1114,SMB,NA,P1,2025-06-01,116.15,0.0,24.88,Renewal
C1115,Enterprise,APAC,P3,2025-06-01,2714.61,0.0,674.04,Renewal
C1116,Enterprise,EMEA,P3,2025-06-01,2397.17,0.0,448.56,Renewal
C1117,SMB,NA,P1,2025-06-01,115.98,0.0,28.75,Renewal
C1118,SMB,EMEA,P1,2025-06-01,91.54,0.0,29.91,Renewal
C1119,Mid-Market,EMEA,P2,2025-06-01,602.3,0.0,122.14,Renewal
C1120,Enterprise,APAC,P3,2025-06-01,2865.42,733.95,596.54,Expansion
C1121,Enterprise,APAC,P3,2025-06-01,2345.95,0.0,449.99,Renewal
C1122,SMB,NA,P1,2025-06-01,119.64,119.64,36.43,New
C1123,SMB,EMEA,P1,2025-06-01,96.74,96.74,28.47,New
C1124,SMB,EMEA,P1,2025-06-01,88.51,88.51,29.35,New
C1125,Enterprise,EMEA,P3,2025-06-01,1882.35,1882.35,477.19,New
C1091,SMB,NA,P1,2025-07-01,88.89,0.0,28.49,Renewal
C1092,SMB,APAC,P1,2025-07-01,77.55,0.0,18.79,Renewal
C1093,Mid-Market,NA,P2,2025-07-01,0.0,-576.0,0.0,Churn
C1094,SMB,NA,P1,2025-07-01,106.38,0.0,33.25,Renewal
C1095,Enterprise,EMEA,P3,2025-07-01,2464.88,0.0,642.55,Renewal
C1096,SMB,EMEA,P1,2025-07-01,78.37,0.0,27.32,Renewal
C1097,Mid-Market,EMEA,P2,2025-07-01,785.52,0.0,196.0,Renewal
C1098,Mid-Market,NA,P2,2025-07-01,886.31,0.0,216.83,Renewal
C1101,Enterprise,EMEA,P3,2025-07-01,1255.62,0.0,323.5,Renewal
C1102,Mid-Market,APAC,P2,2025-07-01,713.72,0.0,171.93,Renewal
C1103,SMB,EMEA,P1,2025-07-01,96.6,0.0,32.81,Renewal
C1104,Mid-Market,EMEA,P2,2025-07-01,582.36,0.0,176.46,Renewal
C1105,Mid-Market,NA,P2,2025-07-01,827.45,0.0,208.09,Renewal
C1106,SMB,EMEA,P1,2025-07-01,64.0,0.0,20.01,Renewal
C1107,Enterprise,NA,P3,2025-07-01,2690.28,661.97,511.99,Expansion
C1109,Mid-Market,EMEA,P2,2025-07-01,469.82,0.0,144.85,Renewal
C1110,SMB,EMEA,P1,2025-07-01,56.59,0.0,15.61,Renewal
C1111,Enterprise,NA,P3,2025-07-01,2394.81,0.0,628.99,Renewal
C1112,Enterprise,APAC,P3,2025-07-01,2187.49,358.51,589.64,Expansion
C1114,SMB,NA,P1,2025-07-01,141.33,25.18,28.5,Expansion
C1115,Enterprise,APAC,P3,2025-07-01,2714.61,0.0,734.41,Renewal
C1116,Enterprise,EMEA,P3,2025-07-01,2397.17,0.0,453.37,Renewal
C1117,SMB,NA,P1,2025-07-01,115.98,0.0,28.75,Renewal
C1118,SMB,EMEA,P1,2025-07-01,91.54,0.0,31.35,Renewal
C1119,Mid-Market,EMEA,P2,2025-07-01,504.52,-97.78,135.62,Contraction
C1120,Enterprise,APAC,P3,2025-07-01,2865.42,0.0,696.82,Renewal
C1121,Enterprise,APAC,P3,2025-07-01,2345.95,0.0,527.47,Renewal
C1122,SMB,NA,P1,2025-07-01,119.64,0.0,29.19,Renewal
C1123,SMB,EMEA,P1,2025-07-01,96.74,0.0,24.12,Renewal
C1124,SMB,EMEA,P1,2025-07-01,88.51,0.0,26.63,Renewal
C1125,Enterprise,EMEA,P3,2025-07-01,1882.35,0.0,480.45,Renewal
C1126,SMB,NA,P1,2025-07-01,101.06,101.06,32.21,New
C1127,SMB,EMEA,P1,2025-07-01,116.54,116.54,37.11,New
C1128,SMB,NA,P1,2025-07-01,118.23,118.23,25.26,New
C1091,SMB,NA,P1,2025-08-01,88.89,0.0,24.37,Renewal
C1092,SMB,APAC,P1,2025-08-01,77.55,0.0,16.18,Renewal
C1094,SMB,NA,P1,2025-08-01,106.38,0.0,30.04,Renewal
C1095,Enterprise,EMEA,P3,2025-08-01,2464.88,0.0,552.51,Renewal
C1096,SMB,EMEA,P1,2025-08-01,78.37,0.0,26.11,Renewal
C1097,Mid-Market,EMEA,P2,2025-08-01,785.52,0.0,190.18,Renewal
C1098,Mid-Market,NA,P2,2025-08-01,886.31,0.0,189.71,Renewal
C1101,Enterprise,EMEA,P3,2025-08-01,1255.62,0.0,243.97,Renewal
C1102,Mid-Market,APAC,P2,2025-08-01,713.72,0.0,207.96,Renewal
C1103,SMB,EMEA,P1,2025-08-01,96.6,0.0,28.28,Renewal
C1104,Mid-Market,EMEA,P2,2025-08-01,658.26,75.9,138.3,Expansion
C1105,Mid-Market,NA,P2,2025-08-01,0.0,-827.45,0.0,Churn
C1106,SMB,EMEA,P1,2025-08-01,64.0,0.0,13.5,Renewal
C1107,Enterprise,NA,P3,2025-08-01,2690.28,0.0,705.35,Renewal
C1109,Mid-Market,EMEA,P2,2025-08-01,469.82,0.0,133.78,Renewal
C1110,SMB,EMEA,P1,2025-08-01,56.59,0.0,12.01,Renewal
C1111,Enterprise,NA,P3,2025-08-01,2394.81,0.0,451.38,Renewal
C1112,Enterprise,APAC,P3,2025-08-01,2187.49,0.0,609.57,Renewal
C1114,SMB,NA,P1,2025-08-01,141.33,0.0,36.2,Renewal
C1115,Enterprise,APAC,P3,2025-08-01,2714.61,0.0,589.24,Renewal
C1116,Enterprise,EMEA,P3,2025-08-01,2397.17,0.0,626.33,Renewal
C1117,SMB,NA,P1,2025-08-01,115.98,0.0,39.68,Renewal
C1118,SMB,EMEA,P1,2025-08-01,91.54,0.0,31.85,Renewal
C1119,Mid-Market,EMEA,P2,2025-08-01,504.52,0.0,146.52,Renewal
C1120,Enterprise,APAC,P3,2025-08-01,2865.42,0.0,623.59,Renewal
C1121,Enterprise,APAC,P3,2025-08-01,2345.95,0.0,441.86,Renewal
C1122,SMB,NA,P1,2025-08-01,119.64,0.0,37.87,Renewal
C1123,SMB,EMEA,P1,2025-08-01,96.74,0.0,27.45,Renewal
C1124,SMB,EMEA,P1,2025-08-01,108.63,20.12,36.49,Expansion
C1125,Enterprise,EMEA,P3,2025-08-01,1882.35,0.0,359.75,Renewal
C1126,SMB,NA,P1,2025-08-01,101.06,0.0,27.68,Renewal
C1127,SMB,EMEA,P1,2025-08-01,116.54,0.0,23.51,Renewal
C1128,SMB,NA,P1,2025-08-01,118.23,0.0,31.96,Renewal
C1129,Mid-Market,EMEA,P2,2025-08-01,425.54,425.54,87.98,New
C1130,Enterprise,NA,P3,2025-08-01,2108.6,2108.6,404.6,New
C1131,Enterprise,EMEA,P3,2025-08-01,2033.93,2033.93,390.01,New
C1132,Enterprise,EMEA,P3,2025-08-01,1877.69,1877.69,459.89,New
C1091,SMB,NA,P1,2025-09-01,88.89,0.0,27.73,Renewal
C1092,SMB,APAC,P1,2025-09-01,57.84,-19.71,19.92,Contraction
C1094,SMB,NA,P1,2025-09-01,106.38,0.0,27.26,Renewal
C1095,Enterprise,EMEA,P3,2025-09-01,2464.88,0.0,514.1,Renewal
C1096,SMB,EMEA,P1,2025-09-01,78.37,0.0,25.88,Renewal
C1097,Mid-Market,EMEA,P2,2025-09-01,785.52,0.0,178.18,Renewal
C1098,Mid-Market,NA,P2,2025-09-01,1231.06,344.75,248.01,Expansion
C1101,Enterprise,EMEA,P3,2025-09-01,1255.62,0.0,347.79,Renewal
C1102,Mid-Market,APAC,P2,2025-09-01,713.72,0.0,146.44,Renewal
C1103,SMB,EMEA,P1,2025-09-01,79.48,-17.12,22.19,Contraction
C1104,Mid-Market,EMEA,P2,2025-09-01,658.26,0.0,210.09,Renewal
C1106,SMB,EMEA,P1,2025-09-01,64.0,0.0,13.51,Renewal
C1107,Enterprise,NA,P3,2025-09-01,2690.28,0.0,633.25,Renewal
C1109,Mid-Market,EMEA,P2,2025-09-01,469.82,0.0,148.61,Renewal
C1110,SMB,EMEA,P1,2025-09-01,56.59,0.0,15.76,Renewal
C1111,Enterprise,NA,P3,2025-09-01,3086.48,691.67,770.31,Expansion
C1112,Enterprise,APAC,P3,2025-09-01,2187.49,0.0,493.18,Renewal
C1114,SMB,NA,P1,2025-09-01,141.33,0.0,41.57,Renewal
C1115,Enterprise,APAC,P3,2025-09-01,2714.61,0.0,647.25,Renewal
C1116,Enterprise,EMEA,P3,2025-09-01,2397.17,0.0,647.51,Renewal
C1117,SMB,NA,P1,2025-09-01,115.98,0.0,23.99,Renewal
C1118,SMB,EMEA,P1,2025-09-01,91.54,0.0,22.17,Renewal
C1119,Mid-Market,EMEA,P2,2025-09-01,504.52,0.0,158.44,Renewal
C1120,Enterprise,APAC,P3,2025-09-01,3917.26,1051.84,883.6,Expansion
C1121,Enterprise,APAC,P3,2025-09-01,2345.95,0.0,567.75,Renewal
C1122,SMB,NA,P1,2025-09-01,119.64,0.0,28.91,Renewal
C1123,SMB,EMEA,P1,2025-09-01,96.74,0.0,22.08,Renewal
C1124,SMB,EMEA,P1,2025-09-01,108.63,0.0,29.28,Renewal
C1125,Enterprise,EMEA,P3,2025-09-01,1882.35,0.0,405.34,Renewal
C1126,SMB,NA,P1,2025-09-01,101.06,0.0,29.06,Renewal
C1127,SMB,EMEA,P1,2025-09-01,116.54,0.0,24.67,Renewal
C1128,SMB,NA,P1,2025-09-01,118.23,0.0,40.93,Renewal
C1129,Mid-Market,EMEA,P2,2025-09-01,425.54,0.0,135.47,Renewal
C1130,Enterprise,NA,P3,2025-09-01,2108.6,0.0,526.76,Renewal
C1131,Enterprise,EMEA,P3,2025-09-01,2033.93,0.0,475.15,Renewal
C1132,Enterprise,EMEA,P3,2025-09-01,1877.69,0.0,396.1,Renewal
C1133,SMB,NA,P1,2025-09-01,88.9,88.9,28.63,New
C1134,SMB,NA,P1,2025-09-01,97.52,97.52,29.52,New
C1135,SMB,APAC,P1,2025-09-01,121.49,121.49,27.26,New
C1136,SMB,APAC,P1,2025-09-01,96.95,96.95,32.64,New
C1091,SMB,NA,P1,2025-10-01,88.89,0.0,28.75,Renewal
C1092,SMB,APAC,P1,2025-10-01,57.84,0.0,19.81,Renewal
C1094,SMB,NA,P1,2025-10-01,106.38,0.0,32.86,Renewal
C1095,Enterprise,EMEA,P3,2025-10-01,2464.88,0.0,594.88,Renewal
C1096,SMB,EMEA,P1,2025-10-01,78.37,0.0,20.59,Renewal
C1097,Mid-Market,EMEA,P2,2025-10-01,785.52,0.0,245.03,Renewal
C1098,Mid-Market,NA,P2,2025-10-01,1231.06,0.0,374.15,Renewal
C1101,Enterprise,EMEA,P3,2025-10-01,1255.62,0.0,231.69,Renewal
C1102,Mid-Market,APAC,P2,2025-10-01,713.72,0.0,145.0,Renewal
C1103,SMB,EMEA,P1,2025-10-01,79.48,0.0,20.38,Renewal
C1104,Mid-Market,EMEA,P2,2025-10-01,658.26,0.0,195.68,Renewal
C1106,SMB,EMEA,P1,2025-10-01,64.0,0.0,22.28,Renewal
C1107,Enterprise,NA,P3,2025-10-01,2690.28,0.0,524.72,Renewal
C1109,Mid-Market,EMEA,P2,2025-10-01,351.68,-118.14,86.41,Contraction
C1110,SMB,EMEA,P1,2025-10-01,56.59,0.0,19.55,Renewal
C1111,Enterprise,NA,P3,2025-10-01,3086.48,0.0,815.48,Renewal
C1112,Enterprise,APAC,P3,2025-10-01,2187.49,0.0,577.13,Renewal
C1114,SMB,NA,P1,2025-10-01,141.33,0.0,38.2,Renewal
C1115,Enterprise,APAC,P3,2025-10-01,2714.61,0.0,601.24,Renewal
C1116,Enterprise,EMEA,P3,2025-10-01,2833.51,436.34,526.01,Expansion
C1117,SMB,NA,P1,2025-10-01,115.98,0.0,38.24,Renewal
C1118,SMB,EMEA,P1,2025-10-01,91.54,0.0,29.47,Renewal
C1119,Mid-Market,EMEA,P2,2025-10-01,504.52,0.0,161.43,Renewal
C1120,Enterprise,APAC,P3,2025-10-01,3326.38,-590.88,783.51,Contraction
C1121,Enterprise,APAC,P3,2025-10-01,2345.95,0.0,602.67,Renewal
C1122,SMB,NA,P1,2025-10-01,119.64,0.0,40.88,Renewal
C1123,SMB,EMEA,P1,2025-10-01,96.74,0.0,31.68,Renewal
C1124,SMB,EMEA,P1,2025-10-01,108.63,0.0,25.76,Renewal
C1125,Enterprise,EMEA,P3,2025-10-01,1882.35,0.0,423.63,Renewal
C1126,SMB,NA,P1,2025-10-01,101.06,0.0,22.17,Renewal
C1127,SMB,EMEA,P1,2025-10-01,116.54,0.0,39.99,Renewal
C1128,SMB,NA,P1,2025-10-01,118.23,0.0,34.4,Renewal
C1129,Mid-Market,EMEA,P2,2025-10-01,425.54,0.0,96.78,Renewal
C1130,Enterprise,NA,P3,2025-10-01,2108.6,0.0,521.18,Renewal
C1131,Enterprise,EMEA,P3,2025-10-01,2033.93,0.0,491.83,Renewal
C1132,Enterprise,EMEA,P3,2025-10-01,1877.69,0.0,405.24,Renewal
C1133,SMB,NA,P1,2025-10-01,88.9,0.0,19.29,Renewal
C1134,SMB,NA,P1,2025-10-01,97.52,0.0,29.33,Renewal
C1135,SMB,APAC,P1,2025-10-01,121.49,0.0,33.78,Renewal
C1136,SMB,APAC,P1,2025-10-01,96.95,0.0,30.62,Renewal
C1137,SMB,NA,P1,2025-10-01,104.69,104.69,29.11,New
C1138,SMB,APAC,P1,2025-10-01,111.99,111.99,36.71,New
C1139,SMB,NA,P1,2025-10-01,98.55,98.55,27.87,New
C1091,SMB,NA,P1,2025-11-01,88.89,0.0,25.26,Renewal
C1092,SMB,APAC,P1,2025-11-01,57.84,0.0,19.17,Renewal
C1094,SMB,NA,P1,2025-11-01,106.38,0.0,27.71,Renewal
C1095,Enterprise,EMEA,P3,2025-11-01,2464.88,0.0,476.71,Renewal
C1096,SMB,EMEA,P1,2025-11-01,78.37,0.0,16.01,Renewal
C1097,Mid-Market,EMEA,P2,2025-11-01,785.52,0.0,228.29,Renewal
C1098,Mid-Market,NA,P2,2025-11-01,1231.06,0.0,337.85,Renewal
