CustomerID,Segment,Region,PlanID,SignupDate
C1098,Mid-Market,NA,P2,2024-10-01
C1099,SMB,NA,P1,2024-10-01
C1100,SMB,EMEA,P1,2024-11-01
C1101,Enterprise,EMEA,P3,2024-11-01
C1102,Mid-Market,APAC,P2,2024-11-01
C1103,SMB,EMEA,P1,2024-11-01
C1104,Mid-Market,EMEA,P2,2024-12-01
C1105,Mid-Market,NA,P2,2024-12-01
C1106,SMB,EMEA,P1,2024-12-01
C1107,Enterprise,NA,P3,2025-01-01
C1108,SMB,EMEA,P1,2025-01-01
C1109,Mid-Market,EMEA,P2,2025-02-01
C1110,SMB,EMEA,P1,2025-02-01
C1111,Enterprise,NA,P3,2025-02-01
C1112,Enterprise,APAC,P3,2025-02-01
C1113,Mid-Market,NA,P2,2025-03-01
C1114,SMB,NA,P1,2025-03-01
C1115,Enterprise,APAC,P3,2025-03-01
C1116,Enterprise,EMEA,P3,2025-04-01
C1117,SMB,NA,P1,2025-04-01
C1118,SMB,EMEA,P1,2025-04-01
C1119,Mid-Market,EMEA,P2,2025-05-01
C1120,Enterprise,APAC,P3,2025-05-01
C1121,Enterprise,APAC,P3,2025-05-01
C1122,SMB,NA,P1,2025-06-01
C1123,SMB,EMEA,P1,2025-06-01
C1124,SMB,EMEA,P1,2025-06-01
C1125,Enterprise,EMEA,P3,2025-06-01
C1126,SMB,NA,P1,2025-07-01
C1127,SMB,EMEA,P1,2025-07-01
C1128,SMB,NA,P1,2025-07-01
C1129,Mid-Market,EMEA,P2,2025-08-01
C1130,Enterprise,NA,P3,2025-08-01
C1131,Enterprise,EMEA,P3,2025-08-01
C1132,Enterprise,EMEA,P3,2025-08-01
C1133,SMB,NA,P1,2025-09-01
C1134,SMB,NA,P1,2025-09-01
C1135,SMB,APAC,P1,2025-09-01
C1136,SMB,APAC,P1,2025-09-01
C1137,SMB,NA,P1,2025-10-01
C1138,SMB,APAC,P1,2025-10-01
C1139,SMB,NA,P1,2025-10-01
C1140,SMB,EMEA,P1,2025-11-01
C1141,Mid-Market,EMEA,P2,2025-11-01
C1142,SMB,APAC,P1,2025-11-01
C1143,SMB,NA,P1,2025-12-01
C1144,SMB,NA,P1,2025-12-01
C1145,Mid-Market,EMEA,P2,2025-12-01
C1146,Mid-Market,EMEA,P2,2025-12-01
C1147,Mid-Market,EMEA,P2,2026-01-01
C1148,SMB,EMEA,P1,2026-01-01
C1149,SMB,EMEA,P1,2026-01-01
C1150,Mid-Market,EMEA,P2,2026-02-01
C1151,SMB,NA,P1,2026-02-01
C1152,SMB,NA,P1,2026-02-01
C1153,Enterprise,NA,P3,2026-02-01
C1154,Mid-Market,EMEA,P2,2026-02-01
C1155,Mid-Market,NA,P2,2026-02-01
C1156,Mid-Market,NA,P2,2026-03-01
C1157,Mid-Market,EMEA,P2,2026-03-01
C1158,SMB,EMEA,P1,2026-04-01
C1159,Enterprise,NA,P3,2026-04-01
C1160,Mid-Market,EMEA,P2,2026-04-01
C1161,SMB,NA,P1,2026-05-01
C1162,SMB,EMEA,P1,2026-05-01
C1163,Mid-Market,EMEA,P2,2026-05-01
C1164,Mid-Market,NA,P2,2026-05-01
C1165,SMB,EMEA,P1,2026-05-01
C1166,SMB,APAC,P1,2026-05-01
C1167,SMB,NA,P1,2026-06-01
C1168,Enterprise,EMEA,P3,2026-06-01
C1169,SMB,EMEA,P1,2026-06-01
C1170,SMB,NA,P1,2026-06-01
C1171,SMB,NA,P1,2026-06-01
C1172,SMB,APAC,P1,2026-06-01
C1173,SMB,APAC,P1,2026-07-01
C1174,SMB,EMEA,P1,2026-07-01
C1175,Enterprise,EMEA,P3,2026-07-01
C1176,Mid-Market,APAC,P2,2026-07-01
C1177,SMB,NA,P1,2026-07-01
C1178,SMB,EMEA,P1,2026-07-01
C1179,SMB,EMEA,P1,2026-08-01
C1180,SMB,EMEA,P1,2026-08-01
C1181,SMB,EMEA,P1,2026-08-01
C1182,SMB,NA,P1,2026-08-01
C1183,Mid-Market,EMEA,P2,2026-08-01
